2022,2021,Company,Ownership,Industry,Total_income,Net_income,Profit,Profirt_rank,% of total income,Interest_cost,interest_cost (% of Ebitda),Cash and Bank Balance,Total_debt,Debt-Equity_ratio,Total_Assets,Total_Assets_Rank,Networth,Networth_Rank,RONW(%),ROCE(%),Employees(in nos),"T12M AVG
M-Cap",TSR(%)
75,93,"Suzuki Motor Gujarat
                                                      ^^ ^",MNC,Auto,24793,24440,23,447,0.09,1,0.05,2734,0,0,12766,179,12757,113,0.25,0.63,0,0,0
76,78,TVS Motor Company,TVS-Venu Srinivasan,Auto,24651,24355,757,208,3.07,940,34.64,1536,15827,3.6,21131,139,4399,238,17.77,10.94,5161,36656,72.02
77,84,EID Parry (India),Murugappa Group,Sugar,23930,23528,907,176,3.79,152,6.43,1839,1259,0.24,9386,219,5326,215,31.76,36.64,2068,9013,38.39
78,61,IDBI Bank,Diversified,Banking,23278,18319,2534,78,10.88,9125,0,26800,247195,0,302665,24,34104,54,3.32,0.84,17430,46466,-16.38
79,57,Aurobindo Pharma,P.V. Ramprasad Reddy,"Drugs, Pharma",23075,23455,2648,76,11.48,49,1.18,4190,2851,0.12,27638,125,24576,70,11.38,12.41,15431,35611,-21.78
80,75,Cipla,Yusuf Hamied family,"Drugs, Pharma",22769,21763,2517,79,11.05,106,2.43,1928,1056,0.05,22426,138,20842,78,13.07,16.83,25927,79013,28.9
81,76,Aditya Birla Capital,Aditya Birla Group,NBFC,22582,22232,1706,104,7.55,3480,0,2638,58425,3.77,75516,74,15492,99,11.36,8.2,0,26545,17.44
82,90,"Patanjali Foods
                                                      (**) ^^",Patanjali Ayurved,FMCG,22498,22093,806,195,3.58,359,24.05,2016,3068,0.55,10215,208,6171,192,15.76,15.68,3547,35094,51.65
83,73,Dr Reddys Laboratories,Dr Reddy's Holdings,"Drugs, Pharma",22454,21545,2183,86,9.72,96,2.54,2419,3385,0.18,22790,137,19212,85,11.84,14.46,20122,72295,-7.07
84,64,Yes Bank,"Diversified
                                              *",Banking,22424,19019,1064,156,4.75,12528,0,46748,269403,0,318578,23,33699,55,2.74,0.36,24346,35226,18.75
85,124,Jindal Stainless,Savitri Devi Jindal,Iron & Steel,22141,21223,1881,94,8.5,332,11.12,224,3196,0.62,8569,227,5186,219,45.5,36.27,1761,8118,-28.27
86,87,Apollo Tyres,Onkar Kanwar,Tyres & Tubes,21847,20948,639,227,2.92,465,17.97,1081,6985,0.59,20286,141,11749,125,5.51,6.49,15979,14071,34.08
87,65,Indian Overseas Bank,GoI,Banking,21641,16736,1709,103,7.9,10419,0,36951,265284,0,299656,25,20475,81,4.73,0.6,22363,35322,-13.1
88,88,Bharat Heavy Electricals,GoI,Capital Goods,21084,21211,446,281,2.12,448,54.14,7154,4830,0.18,39667,108,26507,62,1.56,2.19,30758,19497,3.88
89,72,Reliance Infrastructure,"Diversified
                                              *",Power,20549,19689,-938,480,0,2060,112.73,1241,12718,1.01,36968,112,12564,116,0,0,5157,3004,70.52
90,92,MRF,K.M. Mammen,Tyres & Tubes,20490,19317,669,219,3.27,263,12.76,180,3229,0.23,17768,151,14032,108,4.88,6.89,18734,31873,15.61
91,82,IDFC First Bank,"Diversified
                                              *",Banking,20345,17173,132,406,0.65,7465,0,15702,158502,0,190244,41,21082,76,0.57,0.07,27804,27258,10.98
92,96,"Indian Railway Finance Corporation
                                                      ^^",GoI,NBFC,20302,20299,6090,39,30,14075,0,303,388440,9.47,429436,18,40996,44,15.84,5.11,0,28747,-2.38
93,146,Allcargo Logistics,Shashi Kiran Shetty,Transport Logistics,20296,20072,926,173,4.56,120,8.03,644,2317,0.73,5922,273,3162,290,35.43,27.55,959,8401,59.12
94,0,Rail Vikas Nigam,GoI,"Engg, construction",20285,19382,1183,139,5.83,564,47.65,6824,6643,1.04,13335,172,6397,188,19.66,16.33,324,7016,17.81
95,74,LIC Housing Finance,GoI,NBFC,20005,19978,2286,84,11.43,14151,0,985,223757,9.04,248511,30,24751,67,10.08,7.1,2467,20832,-0.62
96,116,"Toyota Kirloskar Motor
                                                      ^^ ^",MNC,Auto,19727,19563,519,259,2.63,45,4.22,4949,3565,1.18,7621,240,3027,296,18.76,10.05,0,0,0
97,111,Coromandel International,Murugappa Group,"Fert, Agro Chem",19374,19111,1528,113,7.89,75,3.51,1753,395,0.06,6777,258,6358,189,26.56,34.45,5042,25996,24.58
98,79,Reliance Capital,"Diversified
                                              *",NBFC,19301,19272,-8116,498,0,2218,0,1570,26839,0,7815,233,-19820,498,0,0,0,376,-38.71
99,85,Shriram Transport Finance Company,Shriram Group,NBFC,19274,19255,2721,74,14.12,9773,0,16355,114846,4.4,140940,49,26094,63,11.33,9.9,25456,34066,-12.79
100,125,"Adani Enterprises
                                                      (**)",Adani Group,Wholesale Trade,19218,14272,777,202,4.04,2526,68.02,3916,41604,1.87,75588,73,22257,73,2.41,6.57,4508,255215,131.52
101,120,Chambal Fertilisers & Chemicals,K.K. Birla Group,"Fert, Agrochem",18770,16069,1566,111,8.34,109,4.81,554,4264,0.66,10741,201,6400,187,26.89,23.45,1035,15495,-8.4
102,138,"Intas Pharmaceuticals
                                                      ^",Hasmukh Chudgar,Pharma,18767,18349,2679,75,14.28,112,2.81,2255,2359,0.16,18097,149,14681,102,19.99,18.56,0,0,0
103,100,Adani Ports & Special Economic Zone,Adani Group,Infra Development,18282,15934,4728,49,25.86,2541,29.98,10492,47619,1.24,87625,63,38083,47,14,10.44,2736,160417,17.63
104,99,Zydus Lifesciences,Zydus Family Trust,Pharma,18211,15265,4487,51,24.64,127,3.8,1107,4221,0.25,23658,135,17000,93,14.85,14.43,23743,40037,-12.82
105,127,Gujarat State Petronet,Govt of Gujarat,Oil & Gas,18158,17991,1638,110,9.02,112,3.2,108,713,0.09,11443,193,7919,159,31.18,35.16,263,14956,-29.59
106,83,UCO Bank,GoI,Banking,18082,14981,965,164,5.33,8508,0,26148,237581,0,267659,28,20737,79,3.49,0.37,21617,14633,-8.18
107,86,Tata Communications,Tata Group,Telecommunication,17099,16725,1482,118,8.67,360,8.6,743,9122,9.83,13382,170,928,445,35.53,13.3,0,33558,1.69
108,95,Lupin,D.B. Gupta family,"Drugs, Pharma",16814,16405,-1528,490,0,143,65.25,1098,4158,0.34,17099,153,12153,122,0,-6.69,19453,34056,-25.59
109,98,Exide Industries,Rajan Raheja Group,Storage Batteries,16783,12789,4367,53,26.02,64,4.59,199,520,0.05,11220,194,10584,135,48.55,5.72,4229,13451,-6.33
110,102,"Bandhan Bank
                                                      ^^","Diversified
                                              *",Banking,16694,13871,126,412,0.75,5157,0,9321,116252,0,139084,50,17381,91,0.72,0.1,60211,47173,-17
111,108,ACC,"MNC
                                              (Adani Group bought Ambuja-ACC in May 2022)",Cement,16544,16152,1863,95,11.26,55,1.86,7524,126,0.01,14653,163,14309,104,13.8,18.51,6082,42178,3.47
112,89,Federal Bank,"Diversified
                                              *",Banking,16502,14382,1970,90,11.94,7959,0,21136,201265,0,226601,36,19251,84,11,0.91,12641,21121,36.46
113,119,Godrej Industries,Godrej Group,Diversified,16459,14130,654,222,3.97,623,64.94,1824,14565,2.04,27797,124,7127,173,13.52,9.61,1069,17063,-25.86
114,105,Bharat Electronics,GoI,Capital Goods,15880,15368,2399,80,15.11,9,0.26,7564,53,0,14329,166,12286,121,20.17,23.55,8853,59232,63.01
115,107,Shree Cement,H.M. Bangur,Cement,15735,15010,2332,82,14.82,216,5.83,290,2129,0.12,19806,144,17460,89,14.22,16.54,19464,84368,-21.63
116,103,Bank of Maharashtra,GoI,Banking,15674,13019,1153,142,7.36,6974,0,19916,210022,0,230796,34,12485,119,9.77,0.54,12721,12321,1.29
117,405,Info Edge (India),Sanjiv Bikhchandani%comma% Hitesh Oberoi,Online Classifieds,15399,1589,12760,21,82.86,11,2.56,368,64,0,18123,147,17241,92,22.04,24.25,4785,58540,-37.64
118,110,Piramal Enterprises,Ajay Piramal,Diversified,15373,13993,1923,92,12.51,4480,0,7185,55703,1.57,92742,60,35489,51,5.75,8.46,13561,46490,-39.53
119,142,Apollo Hospitals Enterprise,Prathap C Reddy family,Healthcare,15108,14663,1056,157,6.99,379,17.33,1036,4068,0.72,10587,204,5616,205,17.26,16.67,71113,63933,4.45
120,117,Kalpataru Power Transmission,Munot family,Capital Goods,15027,14777,540,252,3.6,522,40.3,1194,3838,0.9,9792,213,4279,241,9.67,11.21,3072,5744,17.89
121,109,Bombay Burmah Trading Corporation,Nusli Wadia,Diversified,14967,14544,63,432,0.42,252,15.71,4567,5880,1.07,12732,180,5497,212,14.74,18,3087,6812,-19.45
122,112,"Nestle India
                                                      ^^",MNC,FMCG,14892,14709,2145,89,14.4,201,6,735,266,0.13,5655,280,2084,354,104.53,55.52,0,178241,8.61
123,106,Cholamandalam Financial Holdings,Murugappa Group,NBFC,14735,14644,1023,162,6.94,4328,0,5448,69229,10.74,82857,66,6446,185,37.9,10.18,9900,12155,-8.53
124,91,"Citibank N. A.
                                                      ^^ ^",MNC,Banks,14660,11854,3727,62,25.42,2636,0,52556,183977,0,233265,33,29818,60,12.85,1.66,0,0,0
125,161,National Aluminium Company,GoI,Metals & Mining,14595,14181,2951,71,20.22,23,0.51,3706,77,0.01,13334,173,12552,117,25.41,31.63,5525,17368,-26.03
126,122,Torrent Power,Samir & Sudhir Mehta,Power,14525,14278,454,280,3.13,628,27.42,352,9143,0.92,20534,140,9943,140,8.73,12.21,7603,24770,1.87
127,114,"Ford India
                                                      ^^ ^",MNC,Auto,14449,10202,-4229,496,0,358,0,1062,2477,2.32,3665,358,1067,438,0,0,0,0,0
128,0,"Skoda Auto Volkswagen India
                                                      ^^ ^",MNC,Auto,14446,12410,208,382,1.44,131,0,931,2187,0.45,9433,218,4874,226,3.28,5.14,0,0,0
129,113,Britannia Industries,Nusli Wadia,FMCG,14434,14136,1525,114,10.56,144,6.56,185,2481,0.97,5119,295,2558,319,49.66,41.14,4467,85575,4.1
130,143,Bengal & Assam Company,JK Organisation,Non-banking Financial Services,14344,13609,628,230,4.38,449,0,339,5527,1.22,11660,191,4545,234,7.41,9.72,0,2869,47.06
131,133,Havells India,Anil Rai Gupta,Consumer Durables,14318,13938,1196,136,8.36,67,3.77,2548,438,0.07,6704,260,6003,196,21.41,26.63,5970,78741,-5.28
132,104,"Hongkong & Shanghai Banking Corporation
                                                      ^^ ^",MNC,Banking Services,14301,13130,3191,68,22.31,4371,0,50884,197584,0,247528,31,32226,57,10.43,1.34,0,0,0
133,149,Siemens,MNC,Capital Goods,14209,13639,1090,149,7.67,25,1.62,5159,4,0,11177,195,10349,139,10.99,14.03,8608,88836,31.35
134,155,"Rain Industries
                                                      (**)",Jagan Mohan Reddy,Basic Materials,13929,13228,580,242,4.17,479,20.29,1384,8489,1.39,16198,158,6109,195,11.91,11,160,6341,-23.51
135,118,KEC International,RPG Group,Capital Goods,13897,13742,332,328,2.39,413,43.13,262,3065,0.85,6699,261,3620,272,10.13,14.09,6038,11068,-5.09
136,137,Quess Corp,Fairfax%comma% Ajit Isaac,Services,13788,13692,241,364,1.75,82,14.73,512,915,0.38,3725,352,2438,325,10.5,12.33,3022,10000,-37.44
137,0,"Tata Projects
                                                      ^",Tata Group,Infrastructure,13755,13679,-620,476,0,515,0,1492,3684,1.83,5753,276,2018,362,0,-4.6,0,0,0
138,139,Jindal Saw,Savitri Devi Jindal,Iron & Steel,13741,13298,412,295,3,460,32.82,673,6031,0.82,13059,176,7364,168,5.24,8.29,0,2925,-30.15
139,166,Uflex,Ashok Chaturvedi,Packaging,13601,13127,1098,147,8.08,322,15.12,588,4787,0.71,11583,192,6696,178,17.95,16.03,6910,4357,22.15
140,123,"CESC
                                                      (#)",RP-Sanjiv Goenka Group,Power,13557,12544,1358,124,10.02,1248,41.11,3249,14961,1.44,30601,120,10396,137,13.85,10.73,6920,10759,-8.22
141,141,Tata Chemicals,Tata Group,Basic Materials,13497,12877,1258,129,9.32,303,13.2,1310,7025,0.38,27875,123,18253,88,8.7,7.94,1679,24589,26.94
142,150,"BASF India
                                                      ^^",MNC,Basic Materials,13415,13100,595,238,4.43,17,1.92,126,122,0.05,2522,403,2336,335,28.86,33.32,1327,12370,-10.59
143,0,"John Deere India
                                                      ^",MNC,Auto,13270,12678,955,167,7.19,235,15.1,726,4564,0.83,10436,206,5517,208,18.86,17.19,0,0,0
144,169,Kama Holdings,Arun Bharat Ram,Textile & Garments,13243,12503,957,166,7.23,115,0,537,3651,0.75,12564,182,4836,227,43.97,34.5,0,7081,25.1
145,121,NLC India,GoI,Power,13161,12088,1093,148,8.3,984,24.93,769,22086,1.56,43695,101,14189,106,6.06,7.37,4053,9546,25.46
146,170,APL Apollo Tubes,Rahul Gupta,Iron & Steel,13041,13063,557,249,4.27,44,4.7,376,581,0.26,3138,373,2264,341,31.27,33.42,1195,23888,30.12
147,115,"Standard Chartered Bank
                                                      ^^ ^",MNC,Banking,13034,10627,4469,52,34.29,3133,0,35543,118467,0,176178,42,32364,56,14.42,2.54,0,0,0
148,153,"Godrej & Boyce Mfg.
                                                      ^",Godrej Group,Consumer durables,13022,12523,318,334,2.44,197,24.72,541,3628,0.34,14756,161,10753,133,1.6,2.78,0,0,0
149,163,Polycab India,Jaisinghani family,Consumer durables,12858,12204,909,175,7.07,35,2.79,407,118,0.02,5734,277,5544,207,17.82,22.64,4431,36378,19.91
150,221,Tube Investments of India,Murugappa Group,Diversified,12791,12525,769,204,6.01,75,0,573,871,0.28,4642,311,3071,294,36.82,29.53,3107,36754,90.18
151,156,"Honda Cars India
                                                      ^^ ^",MNC,Auto,12760,12443,230,368,1.8,172,17.67,1673,2615,5.41,3733,350,483,467,23.08,11.17,0,0,0
