2022,2021,Company,Ownership,Industry,Total_income,Net_income,Profit,Profirt_rank,% of total income,Interest_cost,interest_cost (% of Ebitda),Cash and Bank Balance,Total_debt,Debt-Equity_ratio,Total_Assets,Total_Assets_Rank,Networth,Networth_Rank,RONW(%),ROCE(%),Employees(in nos),"T12M AVG
M-Cap",TSR(%)
200,230,Balkrishna Industries,Arvind Poddar,Tyres & Tubes,8991,8295,1435,121,15.97,9,0.47,52,2529,0.36,9520,216,6933,177,22.2,24.02,3229,41459,-20.86
201,225,PDS,D.K. Seth,Textiles,8976,8828,248,362,2.77,39,11.82,665,740,0.85,1694,456,872,450,38.55,24.49,144,4284,9.14
202,181,"Gemini Edibles & Fats India
                                                      (**) ^^ ^",MNC,Food & Agri Products,8933,8453,757,207,8.48,49,4.92,1215,755,0.35,2888,387,2133,349,40.32,40.2,0,0,0
203,257,Gujarat Narmada Valley Fertilizers & Chemicals,Govt of Gujarat,Fertilisers & agrochem,8833,8642,1710,102,19.36,3,0.15,1182,2,0,8945,221,7990,158,24.24,28.8,2401,9721,44.58
204,168,Jammu and Kashmir Bank,Diversified,Banking,8803,8013,495,268,5.62,4101,0,8792,117074,0,130576,52,7127,172,7.79,0.39,12977,3159,-2.94
205,428,"LifeStyle International
                                                      ^^ ^",Micky Jagtiani,Retail,8775,7806,269,352,3.07,443,34.23,36,0,0,5283,291,1358,415,22.01,16.01,0,0,0
206,198,JSW Energy,Savitri Devi Jindal,Power,8744,8167,1729,99,19.77,777,21.77,1134,8943,0.51,26968,126,17415,90,10.92,11.92,1603,49000,-0.23
207,187,Biocon,Kiran Mazumdar-Shaw,"Drugs, Pharma",8653,8184,648,224,7.49,68,4.09,1748,5147,0.61,17440,152,8432,152,10.58,7.38,3203,40329,-22.52
208,232,Mahindra CIE Automotive,MNC,Auto Ancillaries,8648,8387,393,303,4.54,53,5.3,160,1282,0.25,7069,255,5197,218,7.78,10.06,0,8853,10.22
209,177,Torrent Pharmaceuticals,Samir & Sudhir Mehta,"Drugs, Pharma",8631,8508,777,201,9,255,13.1,403,4070,0.68,10401,207,5953,198,18.26,18.2,12923,49426,16.62
210,269,Arvind,Sanjay Lalbhai,Textiles & Garments,8606,8034,238,365,2.77,197,24.76,77,1865,0.63,4967,301,2951,299,8.52,11.65,25460,2915,-34.63
211,182,G R Infraprojects,VK Agarwal & Associates,Construction,8531,8458,832,189,9.75,420,24.23,1095,5282,1.1,10093,209,4811,228,18.93,16.33,17735,14393,-38.07
212,212,Uno Minda,Nirmal Minda,Auto Ancillaries,8457,8313,356,317,4.21,62,7.04,234,944,0.27,4885,303,3438,277,12.2,13.58,5766,28738,38.81
213,0,"Mankind Pharma
                                                      ^",Juneja brothers,Pharma,8442,7782,1433,122,16.98,60,3,406,873,0.14,7290,244,6155,193,26.72,33.43,0,0,0
214,184,"Deutsche Bank
                                                      ^^ ^",MNC,Banking,8382,6836,1474,119,17.58,2380,0,21246,112221,0,147955,45,20845,77,7.33,1.06,0,0,0
215,171,"Export-Import Bank of India
                                                      ^^ ^",GoI,Banking,8363,7976,738,210,8.82,4889,0,3273,107477,0,136742,51,19301,83,3.97,0.54,0,0,0
216,235,Jain Irrigation Systems,Bhavarlal Jain family,Capital Goods,8327,7580,325,332,3.9,558,79.2,391,6733,1.85,10636,202,3656,269,-5.06,3.8,6654,2300,-20.17
217,193,Voltas,Tata Group,Diversified,8302,7934,504,265,6.07,26,4.53,572,373,0.07,6039,272,5500,211,9.64,12.72,2576,36407,-29.28
218,0,Paradeep Phosphates,K.K. Birla Group,Fertilisers & Agrochem,8292,7859,398,300,4.81,86,12.75,598,2954,1.33,5209,294,2225,345,19.66,14.94,930,4242,35.04
219,219,Supreme Industries,Taparia family,Plastic Products,8209,7773,968,163,11.8,5,0.41,526,46,0.01,3918,341,3844,262,27.62,34.59,5228,25717,-5.18
220,206,J K Cements,JK Group,Cement,8157,7991,687,216,8.42,270,18.2,325,4115,0.95,8934,222,4325,240,16.85,15.29,3941,21401,-19.65
221,261,Indraprastha Gas,GoI,Oil & Gas,8116,7710,1502,115,18.51,25,1.31,1362,108,0.01,7737,236,7586,166,21.58,27.81,0,28297,-9.13
222,183,"Punjab & Sind Bank
                                                      ^^",GoI,Banking,8055,7096,1039,161,12.9,4445,0,6288,104581,0,121158,54,13091,112,10.12,0.9,8735,8876,-6.61
223,204,Concor,GoI,Logistics,8041,7770,1055,158,13.12,63,3.6,2918,731,0.07,11695,189,10756,132,10.05,12.86,0,40031,21.51
224,238,Deepak Fertilizers,C.K. Mehta,Fertilisers & agrochem,7886,7663,678,217,8.6,155,11.42,289,2656,0.68,6783,257,3884,258,20.87,19.34,942,7689,138.83
225,202,NBCC (India),GoI,"Engg, Construction",7875,7691,224,370,2.85,9,8.51,5647,0,0,2382,413,1768,383,17.16,18.51,1367,6779,-26.98
226,254,Ircon International,GoI,Engineering & Construction,7811,7380,592,239,7.58,69,11.73,5513,1399,0.3,6816,256,4666,231,13.06,12.31,0,3938,-1.59
227,247,Surya Roshni,J.P. Agarwal,Diversified,7776,7731,205,384,2.64,64,14.37,1,593,0.38,2216,424,1548,402,14.06,15.51,3357,2532,-34.73
228,0,"Jayaswal Neco Inds.
                                                      ^^",Arbind Jayaswal,Metals,7765,5959,2247,85,28.94,459,35.3,485,3845,2.1,5679,278,1833,379,75.9,22.79,4119,2434,-22.15
229,175,Reliance Power,Anil Ambani,Power,7695,7503,-606,475,0,2349,86.32,645,23114,1.85,39278,109,12463,120,0,0,8093,4859,14.86
230,207,Endurance Technologies,Anurang Jain,Auto Ancillaries,7685,7549,461,277,6,6,0.68,403,430,0.11,4419,319,3920,257,12.31,13.61,3588,20190,-26.34
231,0,Alok Industries,Mukesh Ambani & JM Financial,Textiles & Garments,7632,7310,-209,465,0,476,84.43,59,24102,0,6476,265,-17907,497,0,0,26231,11357,-32.29
232,173,"South Indian Bank
                                                      ^^","Diversified
                                              *",Banking,7620,6587,45,436,0.59,4347,0,11203,92436,0,100191,57,5854,201,0.76,0.05,9219,1802,44.67
233,205,Birla Corporation,M.P. Birla Group,Cement,7588,7461,399,299,5.25,243,22.65,138,4326,0.72,11167,196,5103,221,8.16,7.86,0,8650,-37.72
234,237,Kansai Nerolac Paints,MNC,FMCG,7532,7214,359,315,4.76,29,4.4,106,203,0.05,4469,316,4132,244,8.38,11.54,3105,26286,-11.7
235,201,Escorts Kubota,MNC,Auto,7523,7238,736,211,9.79,15,1.62,272,52,0.01,7726,237,7600,164,11.65,15.6,3823,23163,32.69
236,208,Jaiprakash Associates,Jaiprakash Gaur,Diversified,7453,7034,-1478,489,0,1069,0,481,19097,225.57,26817,128,85,479,0,0,5893,2253,11.58
237,140,Edelweiss Financial Services,Rashesh Shah & Associates,Securities Trading,7401,7243,189,390,2.55,2984,0,3039,22711,3.47,30303,121,6537,183,3.23,10,0,5855,-23.27
238,236,PNC Infratech,P.K. Jain,Engineering & Construction,7297,7208,580,241,7.95,425,27.75,747,4793,1.32,9376,220,3628,271,17.37,13.86,8796,6857,-20.68
239,287,Aarti Industries,Chandrakant Gogri,Basic Materials,7262,7000,1307,127,18,114,5.93,257,2594,0.44,8733,224,5914,199,27.77,21.45,0,31277,-18.65
240,233,"ABB India
                                                      ^^",MNC,Capital Goods,7248,6934,520,258,7.17,19,3.39,2688,37,0.01,4137,330,4045,248,11.3,15.64,4075,51911,46.77
241,222,"Hexaware Technologies
                                                      ^",MNC,Infotech,7245,7178,749,209,10.34,37,3.29,1201,50,0.01,4270,324,3788,265,21.32,23.75,17569,0,0
242,185,Karnataka Bank,"Diversified
                                              *",Banking,7176,6222,508,263,7.08,3731,0,4437,82701,0,92130,61,6635,179,7.93,0.57,8520,2127,45.91
243,229,"Barclays Global Service Centre
                                                      ^^ ^",MNC,IT services,7128,7052,591,240,8.29,149,12.05,630,950,1.37,2821,389,693,458,69.61,32.52,0,0,0
244,268,Polyplex Corporation,Sanjiv Saraf,Packaging,7113,6624,569,245,8,17,1.26,906,946,0.29,6289,268,3316,284,30.29,28.9,0,6596,3.99
245,286,Trident,Rajinder Gupta,Textiles & Garments,7107,6998,834,187,11.73,86,5.7,292,1597,0.42,5445,286,3845,261,23.25,23.27,14998,23747,-10.59
246,228,Shriram City Union Finance,Shriram Group,NBFC,7077,7073,1152,143,16.27,2829,0,6842,34541,3.72,43992,100,9278,144,13.19,10.87,27997,11921,-13.94
247,249,"India Yamaha Motor
                                                      ^",MNC,Auto,7061,6884,38,442,0.54,33,7.67,14,500,0.24,2716,394,2073,358,1.62,6.18,0,0,0
248,0,Delhivery,Diversified,7041,83.45,88.74,482,0,100,0,229,1102,0.18,7097,254,78.52,197,0,0,0,0,-35.91,
249,231,IIFL Finance,Nirmal Jain & Associates,Diversified financial services,7006,6970,1188,138,16.95,3016,0,8157,36086,5.58,42556,102,6464,184,20.05,11.31,15306,12398,24.53
250,196,Hudco,GoI,NBFC,6998,6986,1716,101,24.53,4533,0,644,61503,4.25,75970,72,14467,103,12.41,9.16,703,7473,-7.67
251,295,Deepak Nitrite,C.K. Mehta,Basic Materials,6941,6802,1067,155,15.37,36,2.26,42,315,0.09,3675,357,3338,283,37.52,44.37,1601,29051,0.84
252,215,"AU Small Finance Bank
                                                      ^^",Sanjay Agarwal,Small finance bank,6915,5922,1130,146,16.34,2688,0,5929,58575,0,69078,79,7514,167,16.39,1.87,27817,39283,-2.25
253,245,"Culver Max Entertainment
                                                      ^",MNC,Media & Entertainment,6868,6746,938,170,13.65,20,1.48,2913,0,0,7686,238,7224,170,13.89,17.79,0,0,0
254,197,Prestige Estates Projects,Irfan Razack,Real Estate,6843,6390,1150,144,16.81,555,36.61,2171,7250,0.78,17098,154,9095,146,6.55,8.44,1124,18180,1.66
255,242,RPSG Ventures (#),RP-Sanjiv Goenka Group,IT services,6792,6670,131,408,1.93,209,23.65,232,2807,1.11,10865,199,2524,321,14.46,10.85,0,1615,-37.33
256,373,Raymond,Gautam Singhania,6684,113.02,79.27,357,0,228,50.73,336,2327,0.99,4924,302,3.41,332,16.53,12.73,6270,147,157.71,
257,280,Cummins India,MNC,Capital Goods,6676,6171,934,172,13.99,12,1.37,1427,418,0.08,5674,279,5145,220,16.61,20.31,3644,29164,50.23
258,226,Welspun Corp,B.K. Goenka,Iron & Steel,6603,6505,439,285,6.65,102,21.87,701,1655,0.34,6733,259,4428,237,4.95,6.59,1452,5169,72.6
259,272,Team Lease Services,Sabharwal%comma% Reddy,Recruitment Consulting,6504,6480,38,441,0.59,4,6,293,60,0.09,884,491,693,459,15.16,14.43,1138,6301,-38.94
260,262,Ashoka Buildcon,Parakh%comma% Katariya families,"Engg, Construction",6484,5946,779,200,12.01,1004,57.82,729,3633,2.63,12637,181,1381,414,43.4,13.87,2030,2437,-28.58
261,283,Coforge,MNC,Infotech,6484,6432,662,221,10.21,65,5.9,454,490,0.18,3758,348,2733,309,27.49,29.28,20598,26054,-24.13
262,252,Prism Johnson,Rajan Raheja Group,Cement,6457,6306,92,422,1.42,193,36.32,374,1741,1.32,3966,339,1323,419,2.91,7.1,5195,6158,0.82
263,307,Suzlon Energy,Tulsi Tanti,Capital Goods,6447,6582,-200,464,0,735,82.58,500,4242,0,3056,377,-3526,493,0,0,1592,8361,22.19
264,186,Whirlpool of India,MNC,Consumer Durables,6443,6197,566,246,8.79,16,3.82,1616,134,0.04,3897,344,3358,280,9.25,9.87,2668,21975,-25.34
265,274,Thermax,Anu Aga,Capital Goods,6398,6128,312,338,4.88,25,5.97,954,368,0.11,3998,334,3492,276,9.26,11.27,3758,23837,62.12
266,301,Jindal Poly Films,Bhavesh Jindal,Packaging,6358,5878,1196,137,18.81,32,2.24,120,1203,0.31,5634,281,3833,263,36.95,34.57,1740,4546,-10.12
267,209,"Karur Vysya Bank
                                                      ^^","Diversified
                                              *",Banking,6357,5588,673,218,10.59,2872,0,4926,70015,0,80149,69,7596,165,9.25,0.87,6761,4436,121.65
268,250,IRB Infrastructure Developers,Virendra Mhaiskar,Infra Development,6355,5804,361,314,5.69,1894,73.56,1744,16697,1.33,40818,105,12566,115,3.71,6.19,0,12949,-0.97
269,303,Fortis Healthcare,MNC,Healthcare,6344,5931,555,250,8.75,147,13.74,413,1255,0.2,10456,205,6178,191,7.45,7.75,2861,20195,14.4
270,240,"Hatsun Agro Product
                                                      ^^",R. G. Chandramogan,FMCG,6329,6370,218,374,3.44,107,15.43,40,1939,1.75,3067,375,1109,432,20.46,13.64,5541,23320,-31.04
271,214,Shree Renuka Sugars,MNC,Sugar,6278,6433,-139,460,0,393,99.92,76,5234,0,4683,309,-1775,490,0,0,1962,9110,110.69
272,267,Sterlite Technologies,Anil Agarwal,Capital Goods,6223,5754,62,433,1,241,45.13,530,3476,1.78,5585,283,1957,368,2.93,5.45,2691,7967,-39.58
273,217,Jubilant Pharmova,Jubilant Bhartia Group,Pharma,6204,6130,414,293,6.67,145,12.69,984,3192,0.6,8612,226,5319,216,8.21,9.52,3627,6953,-38.99
274,0,PNB Housing Finance,GoI,NBFC,6201,6196,836,186,13.49,4065,0,5216,53005,5.37,62877,81,9872,142,8.9,7.85,1425,6869,-9.74
275,288,JSW Ispat Special Products,Savitri Devi Jindal,Metals,6180,6061,1,451,0.02,271,57.38,139,2699,1.94,4148,329,867,452,0.03,2.14,2076,1440,-0.69
276,285,Mazagon Dock Shipbuilders,GoI,6144,32.92,41.64,232,18.87,15,3.49,11480,12,0,4593,313,5.45,259,15.45,17.08,1013,359,152.24,
277,234,DLF,K.P. Singh family,Real Estate,6138,5717,1501,116,24.45,625,41.14,932,4182,0.12,41741,104,36362,48,2.78,4.7,223,91431,-4.98
278,300,Blue Star,Ashok Advani,Consumer Durables,6133,6046,168,398,2.73,46,13.39,270,554,0.54,1604,463,1018,441,17.66,19.72,2533,9961,25.69
279,216,Ma0puram Finance,V.P. Nandakumar,NBFC,6126,6061,1328,125,21.68,2011,0,2697,24816,2.97,33201,118,8368,154,16.95,11.89,26970,10487,-44.24
280,309,KEI Industries,Anil Gupta,Basic Materials,6067,5727,376,311,6.2,40,6.86,360,355,0.17,2500,404,2136,348,19.24,23.74,1685,11000,71.54
281,0,"Sterlite Power Transmission
                                                      ^",Anil Agarwal,Power Services,6065,5197,440,284,7.26,426,153.39,1350,2198,1.29,4428,318,1691,394,-7.22,7.2,0,0,0
282,220,"Emcure Pharmaceuticals
                                                      ^",Satish & Sunil Mehta,Drugs & Pharmaceuticals,6064,5855,703,213,11.59,176,13.23,308,2077,1.05,4416,320,1988,366,32.98,25.08,0,0,0
283,342,"IVL Dhunseri Petrochem Industries
                                                      ^^ ^",Indorama%comma% Dhunseri,Chemicals,6054,5933,328,329,5.42,36,6.6,69,371,0.31,1564,465,1181,426,29.19,33.95,0,0,0
284,258,The Ramco Cements,P.R. Venketrama Raja,Cement,6038,6004,881,180,14.6,113,8.76,178,3950,0.6,10626,203,6619,180,14.46,9.4,3326,18863,-32.27
285,244,Ipca Laboratories,Premchand Godha,"Drugs, Pharma",6026,5830,884,179,14.67,11,0.85,641,807,0.15,6421,267,5492,213,17.87,20.21,15155,24770,-14.64
286,0,Chemplast Sanmar,Sanmar Holdings,Basic Materials,5966,5892,649,223,10.87,322,26.87,1229,882,0.52,2677,396,106,477,-73.73,157.49,1074,8178,-42.48
287,129,Varroc Engineering,Tarang Jain & Others,Auto Ancillaries,5932,5844,-1110,485,0,118,0,118,1625,0.82,3714,355,1989,365,0,0,3356,5289,6.1
288,325,"Schaeffler India
                                                      ^^",MNC,Auto Ancillaries,5866,5561,629,229,10.72,5,0.5,1416,61,0.02,3718,354,3654,270,18.52,24.47,0,35051,84.93
289,299,Persistent Systems,Anand Deshpande,Infotech,5855,5711,690,215,11.79,12,1.24,914,578,0.17,4180,326,3368,279,22.4,26.38,15422,29955,-8.05
290,297,United Breweries,MNC,"Beer, Alcohol",5845,5838,365,313,6.25,15,2.12,910,10,0,3978,338,3935,252,9.74,13,2837,41588,-0.55
291,211,Bajaj Hindusthan Sugar,Shishir Bajaj,Sugar,5817,5576,-268,469,0,254,153.73,52,4817,2.13,7187,249,2259,342,0,0,7617,1752,-23.53
292,0,"Motherson Sumi Wiring India
                                                      ^^",Vivek Chaand Sehgal,Auto Ancillaries,5764,5635,411,296,7.13,29,4.29,293,283,0.25,1440,475,1115,431,82,57,2871,23717,41.31
293,350,Electrosteel Castings,P.K. Khaitan,Iron & Steel,5724,5281,347,322,6.07,195,27.9,519,2967,0.72,7210,247,4103,245,8.9,9.67,2879,2064,22.12
294,253,ISGEC Heavy Engineering,Ranjit Puri,Capital Goods,5711,5499,109,416,1.91,88,26.3,136,1233,0.58,3742,349,2121,351,5.55,7.05,2826,3969,-25.35
295,304,Sonata Software,Rajan Raheja Group,Infotech,5655,5553,376,310,6.66,18,3.89,770,159,0.15,1333,480,1099,434,37.56,42.26,5158,7883,-16.2
296,308,Godawari Power & Ispat,B.L. Agrawal,Iron & Steel,5655,5399,1467,120,25.93,20,1.06,575,428,0.13,3910,343,3312,285,54.87,57.58,2721,4313,-21.25
297,343,Adani Green Energy,Adani Group,Power,5642,5133,489,269,8.67,2617,74.56,1593,52832,20.21,56970,88,2614,314,14.87,7.3,2355,311040,79.41
298,278,PI Industries,Mayank Singhal,"Fert, Agrochem",5606,5300,844,183,15.05,20,1.74,1410,316,0.05,6474,266,6120,194,14.72,17.22,3079,43322,8.36
299,281,JK Lakshmi Cement,JK Organisation,Cement,5533,5420,464,276,8.38,142,15.39,573,1887,0.75,4762,307,2505,323,20.77,17.23,1680,5944,-9.07
300,279,Zee Entertainment Enterprises,Essel Group,Media,5484,8189,965,165,17.59,45,2.85,1273,76,0.01,11043,198,10863,131,9.12,13.45,3182,26020,-14.7
301,284,Black Box,Essar Group,IT Services,5469,5370,73,428,1.33,74,31.24,311,481,1.85,872,492,260,474,17.96,16.46,405,2630,-18.63
302,271,Crompton Greaves Consumer Electricals,"Diversified
                                              *",Consumer durables,5426,5394,578,243,10.66,35,4.67,915,1686,0.69,5031,298,2453,324,26.38,23.11,2010,24934,-25.37
303,264,LT Foods,Gurucharan Dass Arora,"Food, Agri Products",5402,5427,292,343,5.41,69,11.61,39,1320,0.66,3482,362,1998,363,16.48,14.76,888,2672,88.11
304,246,Alembic Pharmaceuticals,Chirayu Amin,"Drugs, Pharma",5399,5306,521,257,9.65,18,2.03,69,717,0.14,6050,271,5238,217,10.01,10.82,12216,14175,-28.32
305,317,Atul,Sunil Lalbhai,Basic Materials,5372,5081,604,234,11.25,9,1.01,69,144,0.03,4642,312,4429,236,14.65,19.03,3034,26492,-7.05
306,382,Paul Merchants,Sat?Paul?Bansal,NBFC,5369,5367,40,439,0.75,11,0,24,132,0.28,601,497,467,469,8.99,11.74,0,139,-16.62
307,265,Oracle Financial Services Software,MNC,Infotech,5356,5221,1889,93,35.27,12,0.49,5122,83,0.01,7597,241,7100,174,27.08,34.28,6805,30153,-30
308,330,"Brakes India
                                                      ^",TVS-S. Viji,Auto Ancillaries,5301,5144,391,304,7.37,9,1.56,67,0,0,3774,347,3556,274,10.29,12.1,0,0,0
309,260,Sterling & Wilson Renewable Energy,Shapoorji Pallonji Group,Power - Renewables,5294,5199,-909,479,0,87,0,504,446,0.49,1378,479,917,446,0,0,1067,6231,-35.04
310,296,Shirpur Gold Refinery,Essel Group,Metals & Mining,5276,5270,-96,458,0,45,0,24,514,0,401,498,-115,483,0,0,0,0,0
311,0,One 97 Communications,"Diversified
                                              *",New Age Tech,5262,4972,-2393,494,0,42,0,5202,222,0.02,14698,162,14152,107,0,0,17964,53849,-59.2
312,351,"CNH Industrial (India)
                                                      ^",MNC,Auto,5246,4899,368,312,7.02,101,18.76,1163,1494,0.41,5242,292,3681,268,9.42,10.87,0,0,0
313,354,K P R Mill,K.P. Ramasamy family,Textiles,5217,4833,842,184,16.14,23,1.91,128,1185,0.37,4404,321,3187,289,30.41,31.41,20536,20394,18.58
314,263,Laurus Labs,Satyanarayana Chava,Drugs & Pharmaceuticals,5172,4936,828,192,16,102,7.2,76,1777,0.53,5359,289,3351,281,27.99,24.59,0,28511,-7.96
315,316,Shipping Corporation of India,GoI,Shipping,5170,4995,865,182,16.73,161,10.52,1407,3200,0.35,12367,183,9097,145,9.9,8.73,540,5645,-1.57
316,256,Sundaram Finance,TVS-S. Viji,NBFC,5146,5111,1173,141,22.8,2236,0,715,36362,4.13,47450,97,8795,149,12.91,8.18,4263,23258,-3.13
317,407,Forbes & Company,Shapoorji Pallonji Group,Diversified,5142,515,4226,55,82.19,42,0,22,288,3.33,388,499,83,480,0,0,571,2560,80.59
318,336,Jaiprakash Power Ventures,Jaiprakash Gaur,Power,5139,4625,107,417,2.09,556,49.98,393,5050,0.49,15797,160,10389,138,0.78,4.5,1733,4866,63.01
319,306,Avanti Feeds,Indra Kumar Alluri,"Food, Agri Products",5128,5036,222,372,4.32,4,1.29,75,4,0,2166,429,1895,376,13.41,17.73,1162,6654,-18.48
320,0,Jubilant Ingrevia,Jubilant Bhartia Group,Chemicals,5126,4949,477,272,9.3,31,3.72,49,238,0.1,2739,391,2433,326,21.89,27.99,0,8296,-21.87
321,275,"Colgate-Palmolive (India)
                                                      ^^",MNC,FMCG,5123,5100,1078,151,21.05,6,0.38,755,83,0.05,1833,450,1735,388,74.35,90.6,2363,41603,9.35
322,413,Trent,Tata Group,Retail Trade,5117,4498,106,418,2.07,325,57.34,86,4725,2,7175,250,2364,329,1.55,7.15,9080,42392,49.52
323,344,"Hitachi Energy India
                                                      ^^",MNC,Engineering,5114,4884,203,385,3.98,53,16.39,86,190,0.17,1326,481,1132,429,13.94,20.54,2267,13283,45.85
324,339,Finolex Industries,Chhabria family,Plastic Products,5073,4647,1051,159,20.72,14,1.38,81,278,0.07,4289,323,3928,254,21.6,26.51,1379,10100,-38.07
325,366,"Supreme Petrochem
                                                      ^^",Rajan Raheja Group,Basic Materials,5055,5032,663,220,13.12,7,0.81,447,37,0.02,1560,467,1516,405,51.41,66.99,382,12367,19.49
326,328,Sundram Fasteners,TVS-Suresh Krishna,Auto Ancillaries,5052,4902,457,279,9.04,29,3.58,71,772,0.29,3429,364,2621,313,18.59,20.03,0,17516,12.02
327,480,Zomato,"Diversified
                                              *",5038,136.6,110.27,487,0,12,0,1576,70,0,16635,157,102.73,96,0,0,3517,214,-52.38,
328,203,GMR Airports Infrastructure,G.M. Rao family,Infrastructure,5025,4601,-1023,483,0,2019,151.18,3116,26633,0,32777,119,-818,485,0,0,0,23128,-11.47
329,291,"Abbott India
                                                      ^^",MNC,"Drugs, Pharma",5019,4919,799,198,15.91,19,1.76,2749,152,0.05,3064,376,2820,304,29.46,37.2,3597,38642,-2.31
330,289,"Bayer CropScience
                                                      ^^",MNC,"Fert, Agrochem",4992,4734,645,226,12.93,13,1.59,787,86,0.03,2728,392,2524,320,25.43,31.79,1318,21997,-3.89
331,370,"Daikin Airconditioning India
                                                      ^",MNC,Consumer durables,4978,4834,231,367,4.64,30,6.59,848,41,0.02,2194,426,1920,371,12.81,17.1,0,0,0
332,363,Mukand,Niraj Bajaj,Iron & Steel,4964,4637,177,393,3.57,161,63.81,209,2026,3.22,2694,395,624,461,14.48,8.49,3488,1725,-16.47
333,292,India Cements,N Srinivasan,Cement,4911,4858,78,426,1.6,198,40.82,46,3091,0.52,9930,210,5504,209,1.2,3.11,0,6339,17.6
334,270,Bajaj Electricals,Bajaj Group,Consumer Durables,4864,4813,129,411,2.64,70,29.44,143,91,0.05,1883,447,1732,390,7.52,11.42,2661,12828,7.13
335,276,"City Union Bank
                                                      ^^","Diversified
                                              *",Banking,4864,4105,760,205,15.63,2188,0,6687,53001,0,61531,84,6586,181,12.23,1.32,5367,10994,11.77
336,293,HFCL,Mahendra Nahata,Telecommunication,4851,4727,313,336,6.46,166,25.85,528,756,0.27,3610,359,2798,306,13.82,18.77,3428,10008,12.77
337,273,Balrampur Chini Mills,Vivek Saraogi,Sugar,4697,4846,465,274,9.89,31,4.42,3,1211,0.44,3992,335,2770,308,17.24,16.01,6350,7923,-2.89
338,395,Jai Balaji Industries,Aditya Jajodia,Iron & Steel,4689,4644,48,435,1.02,99,47.4,22,3169,0,1506,470,-1663,489,-11.09,5.12,0,558,-19.25
339,353,Glaxosmithkline Pharmaceuticals,MNC,Drugs & Pharmaceuticals,4685,3278,1695,105,36.17,2,0.27,2485,0,0.01,2935,381,2663,312,17.87,32.77,3840,26332,-8.8
340,302,Cyient,BVR Mohan Reddy & Associates,Infotech,4664,4534,522,256,11.2,39,4.81,1267,573,0.18,3888,345,3117,292,17.2,19.43,12780,9727,-28.03
341,305,"Tamilnad Mercantile Bank
                                                      ^^","Diversified
                                              *",Banking,4656,3834,822,193,17.65,2019,0,3852,44933,0,52858,92,5336,214,16.58,1.64,4457,7687,-1.06
342,290,Triveni Engineering,Dhruv Sawhney,FMCG,4654,4291,424,289,9.11,55,8.69,28,1575,0.82,3527,360,1913,374,24.45,20.48,4180,6286,31.57
343,321,Gland Pharma,MNC,Drugs & Pharmaceuticals,4588,4401,1212,132,26.41,5,0.35,3093,5,0,7164,251,7158,171,18.55,24.84,4639,49026,-51.5
344,371,Astral,Sandeep Engineer,Plastics,4562,4394,484,270,10.6,13,1.71,642,98,0.04,2464,406,2335,336,23.19,29.98,1982,41097,-9.26
345,312,"Wonder Cement
                                                      ^",Ashok Patni,Cement,4547,4518,259,358,5.7,152,17.62,263,2105,1.1,4173,327,1913,373,14.54,13.23,0,0,0
346,0,GMR Power & Urban Infra,G.M. Rao family,Infrastructure,4543,4102,-648,477,0,1354,273.38,540,10413,0,8656,225,-2164,491,0,0,0,1610,-42.99
347,0,Fertilizers & Chemicals Travancore,GoI,Fertilisers & Agrochem,4536,4425,353,319,7.79,244,48.19,1876,1838,9.7,2239,423,189,475,60.1,24.79,1656,7765,-1.05
348,0,"Sagar Diamonds
                                                      (**) ^^",Vaibhav Shah,Gems and jewellery,4526,4271,29,444,0.64,1,0,13,2,0.03,92,500,90,478,38.53,45.3,0,57,8.2
349,411,"PCBL
                                                      (#)",RP-Sanjiv Goenka Group,Auto Ancillaries,4510,4446,426,288,9.45,29,4.46,159,786,0.3,3417,366,2614,315,18.74,18.45,1135,4388,18.94
350,0,Electronics Mart India,Pavan Kumar Bajaj,Retail,4486,4349,104,419,2.32,85,28.98,34,1143,1.92,1741,454,597,463,19.09,14.01,0,3495,6.45
351,441,Maharashtra Seamless,D.P. Jindal,Iron & Steel,4464,4200,380,307,8.52,51,8.7,49,709,0.19,4442,317,3693,267,11.56,12.79,1431,4164,53.17
352,357,Blue Dart Express,MNC,Transport Logistics,4441,4410,382,305,8.61,87,9.02,184,1066,1.22,1957,441,872,451,52.22,29.29,12288,17358,9.32
353,352,Jubilant Foodworks,Jubilant Bhartia Group,"Food, Agri Products",4441,4396,420,291,9.47,176,16.14,563,2106,1.08,4062,333,1945,369,24.8,20.83,29346,40238,-18.33
354,359,"Venkys (India)
                                                      ^^",Desai%comma% Rao families,"Food, Agri Products",4419,4400,165,400,3.73,18,7.19,156,199,0.16,1464,473,1249,423,14,17.61,5305,3132,-27.95
355,341,IFB Industries,Bijon Nag,Consumer Durables,4401,4316,-48,454,0,35,59.45,93,363,0.56,1096,486,648,460,0,-3.59,2640,4057,-23.52
356,315,Bajaj Holdings & Investment,Bajaj Group,NBFC,4382,484,4056,58,92.55,3,0,33,114,0,51694,93,42842,43,10.31,10.54,0,59662,42.92
357,324,Zensar Technologies,RPG Group,Infotech,4382,4244,416,292,9.5,35,5.38,856,335,0.12,3142,372,2687,310,16.77,20.64,8860,7568,-51.24
358,384,JK Paper,JK Organisation,Paper,4364,4244,543,251,12.43,132,13.22,22,3079,1.01,6282,269,2996,298,19.73,15.85,2778,5155,85.47
