2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
287,129,-158,Varroc Engineering,Tarang Jain & Others,Auto Ancillaries,5932,29.04,5844,33.62,-1110,485,0,NAP,118,NAP,118,1625,0.82,3714,355,-47.49,1989,365,NAP,NAP,3356,219,5289,6.1
288,325,37,"Schaeffler India
                                                      ^^",MNC,Auto Ancillaries,5866,55.6,5561,47.81,629,229,116.21,10.72,5,0.5,1416,61,0.02,3718,354,15.68,3654,270,18.52,24.47,NAVL,NAP,35051,84.93
289,299,10,Persistent Systems,Anand Deshpande,Infotech,5855,36.29,5711,36.36,690,215,53.19,11.79,12,1.24,914,578,0.17,4180,326,43.23,3368,279,22.4,26.38,15422,82,29955,-8.05
290,297,7,United Breweries,MNC,"Beer, Alcohol",5845,34.13,5838,37.6,365,313,222.79,6.25,15,2.12,910,10,0,3978,338,3.05,3935,252,9.74,13,2837,244,41588,-0.55
291,211,-80,Bajaj Hindusthan Sugar,Shishir Bajaj,Sugar,5817,-10.44,5576,-16.36,-268,469,0,NAP,254,153.73,52,4817,2.13,7187,249,-8.95,2259,342,NAP,NAP,7617,131,1752,-23.53
292,NAP,NEW,"Motherson Sumi Wiring India
                                                      ^^",Vivek Chaand Sehgal,Auto Ancillaries,5764,44.61,5635,43.1,411,296,3.66,7.13,29,4.29,293,283,0.25,1440,475,68.03,1115,431,82,57,2871,241,23717,41.31
293,350,57,Electrosteel Castings,P.K. Khaitan,Iron & Steel,5724,66,5281,52,347,322,0,6.07,195,27.9,519,2967,0.72,7210,247,19.91,4103,245,8.9,9.67,2879,240,2064,22.12
294,253,-41,ISGEC Heavy Engineering,Ranjit Puri,Capital Goods,5711,6.38,5499,1.36,109,416,-56.1,1.91,88,26.3,136,1233,0.58,3742,349,10.15,2121,351,5.55,7.05,2826,246,3969,-25.35
295,304,9,Sonata Software,Rajan Raheja Group,Infotech,5655,32.88,5553,31.34,376,310,54.3,6.66,18,3.89,770,159,0.15,1333,480,18.94,1099,434,37.56,42.26,5158,170,7883,-16.2
296,308,12,Godawari Power & Ispat,B.L. Agrawal,Iron & Steel,5655,41.01,5399,36.42,1467,120,129.75,25.93,20,1.06,575,428,0.13,3910,343,29.29,3312,285,54.87,57.58,2721,253,4313,-21.25
297,343,46,Adani Green Energy,Adani Group,Power,5642,60.79,5133,64.31,489,269,132.86,8.67,2617,74.56,1593,52832,20.21,56970,88,110.58,2614,314,14.87,7.3,2355,280,311040,79.41
298,278,-20,PI Industries,Mayank Singhal,"Fert, Agrochem",5606,16.63,5300,15.79,844,183,14.29,15.05,20,1.74,1410,316,0.05,6474,266,12.54,6120,194,14.72,17.22,3079,233,43322,8.36
299,281,-18,JK Lakshmi Cement,JK Organisation,Cement,5533,16.95,5420,14.65,464,276,14.35,8.38,142,15.39,573,1887,0.75,4762,307,13.45,2505,323,20.77,17.23,1680,313,5944,-9.07
300,279,-21,Zee Entertainment Enterprises,Essel Group,Media,5484,14.8,8189,5.94,965,165,20.56,17.59,45,2.85,1273,76,0.01,11043,198,3.35,10863,131,9.12,13.45,3182,226,26020,-14.7
301,284,-17,Black Box,Essar Group,IT Services,5469,16.49,5370,14.89,73,428,-6.88,1.33,74,31.24,311,481,1.85,872,492,20.51,260,474,17.96,16.46,405,387,2630,-18.63
302,271,-31,Crompton Greaves Consumer Electricals,"Diversified
                                              *",Consumer durables,5426,10.33,5394,12.3,578,243,-6.21,10.66,35,4.67,915,1686,0.69,5031,298,96.36,2453,324,26.38,23.11,2010,298,24934,-25.37
303,264,-39,LT Foods,Gurucharan Dass Arora,"Food, Agri Products",5402,3.49,5427,14.46,292,343,6.62,5.41,69,11.61,39,1320,0.66,3482,362,0.28,1998,363,16.48,14.76,888,365,2672,88.11
304,246,-58,Alembic Pharmaceuticals,Chirayu Amin,"Drugs, Pharma",5399,-4.84,5306,-1.62,521,257,-54.56,9.65,18,2.03,69,717,0.14,6050,271,5.48,5238,217,10.01,10.82,12216,98,14175,-28.32
305,317,12,Atul,Sunil Lalbhai,Basic Materials,5372,37.68,5081,36.16,604,234,-7.85,11.25,9,1.01,69,144,0.03,4642,312,15.33,4429,236,14.65,19.03,3034,235,26492,-7.05
306,382,76,Paul Merchants,Sat?Paul?Bansal,NBFC,5369,76.56,5367,76.49,40,439,20.09,0.75,11,NAP,24,132,0.28,601,497,18.21,467,469,8.99,11.74,NAVL,NAP,139,-16.62
307,265,-42,Oracle Financial Services Software,MNC,Infotech,5356,4.69,5221,4.77,1889,93,7.21,35.27,12,0.49,5122,83,0.01,7597,241,5.12,7100,174,27.08,34.28,6805,141,30153,-30
308,330,22,"Brakes India
                                                      ^",TVS-S. Viji,Auto Ancillaries,5301,35.22,5144,32.69,391,304,84.74,7.37,9,1.56,67,0,0,3774,347,10.64,3556,274,10.29,12.1,NAVL,NAP,NAP,NAP
309,260,-49,Sterling & Wilson Renewable Energy,Shapoorji Pallonji Group,Power - Renewables,5294,1.04,5199,2.33,-909,479,0,NAP,87,NAP,504,446,0.49,1378,479,18.45,917,446,NAP,NAP,1067,356,6231,-35.04
310,296,-14,Shirpur Gold Refinery,Essel Group,Metals & Mining,5276,20.42,5270,20.56,-96,458,0,NAP,45,NAP,24,514,0,401,498,-18.02,-115,483,NAP,NAP,NAVL,NAP,NAP,NAP
311,NAP,NEW,One 97 Communications,"Diversified
                                              *",New Age Tech,5262,65.09,4972,77.5,-2393,494,0,NAP,42,NAP,5202,222,0.02,14698,162,94.3,14152,107,NAP,NAP,17964,68,53849,-59.2
312,351,39,"CNH Industrial (India)
                                                      ^",MNC,Auto,5246,46.37,4899,34.48,368,312,"1,634.72",7.02,101,18.76,1163,1494,0.41,5242,292,11.41,3681,268,9.42,10.87,NAVL,NAP,NAP,NAP
313,354,41,K P R Mill,K.P. Ramasamy family,Textiles,5217,54.72,4833,36.76,842,184,63.38,16.14,23,1.91,128,1185,0.37,4404,321,46.2,3187,289,30.41,31.41,20536,60,20394,18.58
314,263,-51,Laurus Labs,Satyanarayana Chava,Drugs & Pharmaceuticals,5172,0.74,4936,2.54,828,192,-15.87,16,102,7.2,76,1777,0.53,5359,289,24.6,3351,281,27.99,24.59,NAVL,NAP,28511,-7.96
315,316,1,Shipping Corporation of India,GoI,Shipping,5170,32.33,4995,34.88,865,182,24.3,16.73,161,10.52,1407,3200,0.35,12367,183,3.84,9097,145,9.9,8.73,540,378,5645,-1.57
316,256,-60,Sundaram Finance,TVS-S. Viji,NBFC,5146,-3.22,5111,-3.44,1173,141,0.71,22.8,2236,NAP,715,36362,4.13,47450,97,3.35,8795,149,12.91,8.18,4263,191,23258,-3.13
317,407,90,Forbes & Company,Shapoorji Pallonji Group,Diversified,5142,564.06,515,-44.8,4226,55,0,82.19,42,NAP,22,288,3.33,388,499,-15.78,83,480,NAP,NAP,571,377,2560,80.59
318,336,18,Jaiprakash Power Ventures,Jaiprakash Gaur,Power,5139,42.95,4625,40.07,107,417,-52.69,2.09,556,49.98,393,5050,0.49,15797,160,-0.6,10389,138,0.78,4.5,1733,308,4866,63.01
319,306,-13,Avanti Feeds,Indra Kumar Alluri,"Food, Agri Products",5128,20.59,5036,22.81,222,372,-38.46,4.32,4,1.29,75,4,0,2166,429,7.79,1895,376,13.41,17.73,1162,344,6654,-18.48
320,NAP,NEW,Jubilant Ingrevia,Jubilant Bhartia Group,Chemicals,5126,636.23,4949,623.45,477,272,776.95,9.3,31,3.72,49,238,0.1,2739,391,7.49,2433,326,21.89,27.99,NAVL,NAP,8296,-21.87
321,275,-46,"Colgate-Palmolive (India)
                                                      ^^",MNC,FMCG,5123,4.64,5100,5.34,1078,151,4.15,21.05,6,0.38,755,83,0.05,1833,450,42.14,1735,388,74.35,90.6,2363,279,41603,9.35
322,413,91,Trent,Tata Group,Retail Trade,5117,94.41,4498,73.47,106,418,0,2.07,325,57.34,86,4725,2,7175,250,34.14,2364,329,1.55,7.15,9080,111,42392,49.52
323,344,21,"Hitachi Energy India
                                                      ^^",MNC,Engineering,5114,46,4884,42.79,203,385,103.81,3.98,53,16.39,86,190,0.17,1326,481,36.31,1132,429,13.94,20.54,2267,283,13283,45.85
324,339,15,Finolex Industries,Chhabria family,Plastic Products,5073,42.04,4647,34.23,1051,159,42.5,20.72,14,1.38,81,278,0.07,4289,323,25.32,3928,254,21.6,26.51,1379,333,10100,-38.07
325,366,41,"Supreme Petrochem
                                                      ^^",Rajan Raheja Group,Basic Materials,5055,57.97,5032,57.99,663,220,38.91,13.12,7,0.81,447,37,0.02,1560,467,40.14,1516,405,51.41,66.99,382,388,12367,19.49
326,328,2,Sundram Fasteners,TVS-Suresh Krishna,Auto Ancillaries,5052,35.97,4902,34.51,457,279,27.16,9.04,29,3.58,71,772,0.29,3429,364,11.05,2621,313,18.59,20.03,NAVL,NAP,17516,12.02
327,480,153,Zomato,"Diversified
                                              *",5038,136.6,4192,110.27,-1209,487,0,NAP,12,NAP,1576,70,0,16635,157,102.73,16506,96,NAP,NAP,3517,214,67987,-52.38,
328,203,-125,GMR Airports Infrastructure,G.M. Rao family,Infrastructure,5025,26.26,4601,29.02,-1023,483,0,NAP,2019,151.18,3116,26633,0,32777,119,-20.98,-818,485,NAP,NAP,NAVL,NAP,23128,-11.47
329,291,-38,"Abbott India
                                                      ^^",MNC,"Drugs, Pharma",5019,11.65,4919,14.14,799,198,15.64,15.91,19,1.76,2749,152,0.05,3064,376,7.71,2820,304,29.46,37.2,3597,211,38642,-2.31
330,289,-41,"Bayer CropScience
                                                      ^^",MNC,"Fert, Agrochem",4992,10.73,4734,11.1,645,226,30.87,12.93,13,1.59,787,86,0.03,2728,392,1.76,2524,320,25.43,31.79,1318,338,21997,-3.89
331,370,39,"Daikin Airconditioning India
                                                      ^",MNC,Consumer durables,4978,56.91,4834,42.94,231,367,58.7,4.64,30,6.59,848,41,0.02,2194,426,15.25,1920,371,12.81,17.1,NAVL,NAP,NAP,NAP
332,363,31,Mukand,Niraj Bajaj,Iron & Steel,4964,53.91,4637,70.09,177,393,0,3.57,161,63.81,209,2026,3.22,2694,395,4.52,624,461,14.48,8.49,3488,215,1725,-16.47
333,292,-41,India Cements,N Srinivasan,Cement,4911,9.76,4858,7.71,78,426,-62.05,1.6,198,40.82,46,3091,0.52,9930,210,9.33,5504,209,1.2,3.11,NAVL,NAP,6339,17.6
334,270,-64,Bajaj Electricals,Bajaj Group,Consumer Durables,4864,-1.73,4813,4.98,129,411,-32.55,2.64,70,29.44,143,91,0.05,1883,447,-15.43,1732,390,7.52,11.42,2661,257,12828,7.13
335,276,-59,"City Union Bank
                                                      ^^","Diversified
                                              *",Banking,4864,0.84,4105,-0.72,760,205,28.23,15.63,2188,NAP,6687,53001,0,61531,84,15.42,6586,181,12.23,1.32,5367,163,10994,11.77
336,293,-43,HFCL,Mahendra Nahata,Telecommunication,4851,9.01,4727,6.88,313,336,31.01,6.46,166,25.85,528,756,0.27,3610,359,24.4,2798,306,13.82,18.77,3428,216,10008,12.77
337,273,-64,Balrampur Chini Mills,Vivek Saraogi,Sugar,4697,-4.42,4846,0.71,465,274,-3.16,9.89,31,4.42,3,1211,0.44,3992,335,3.03,2770,308,17.24,16.01,6350,145,7923,-2.89
338,395,57,Jai Balaji Industries,Aditya Jajodia,Iron & Steel,4689,65.73,4644,66.72,48,435,0,1.02,99,47.4,22,3169,0,1506,470,-11.41,-1663,489,-11.09,5.12,NAVL,NAP,558,-19.25
339,353,14,Glaxosmithkline Pharmaceuticals,MNC,Drugs & Pharmaceuticals,4685,47.26,3278,12.05,1695,105,373.19,36.17,2,0.27,2485,0,0.01,2935,381,66.74,2663,312,17.87,32.77,3840,202,26332,-8.8
340,302,-38,Cyient,BVR Mohan Reddy & Associates,Infotech,4664,9.42,4534,9.73,522,256,43.57,11.2,39,4.81,1267,573,0.18,3888,345,5.09,3117,292,17.2,19.43,12780,93,9727,-28.03
341,305,-36,"Tamilnad Mercantile Bank
                                                      ^^","Diversified
                                              *",Banking,4656,9.48,3834,6.23,822,193,36.23,17.65,2019,NAP,3852,44933,0,52858,92,11.22,5336,214,16.58,1.64,4457,185,7687,-1.06
342,290,-52,Triveni Engineering,Dhruv Sawhney,FMCG,4654,3.26,4291,-8.2,424,289,43.94,9.11,55,8.69,28,1575,0.82,3527,360,35.19,1913,374,24.45,20.48,4180,193,6286,31.57
343,321,-22,Gland Pharma,MNC,Drugs & Pharmaceuticals,4588,18.52,4401,27.08,1212,132,21.54,26.41,5,0.35,3093,5,0,7164,251,21.22,7158,171,18.55,24.84,4639,181,49026,-51.5
344,371,27,Astral,Sandeep Engineer,Plastics,4562,44.73,4394,38.34,484,270,19.63,10.6,13,1.71,642,98,0.04,2464,406,23.23,2335,336,23.19,29.98,1982,300,41097,-9.26
345,312,-33,"Wonder Cement
                                                      ^",Ashok Patni,Cement,4547,13.8,4518,14.42,259,358,-33.06,5.7,152,17.62,263,2105,1.1,4173,327,8.92,1913,373,14.54,13.23,NAVL,NAP,NAP,NAP
346,NAP,NEW,GMR Power & Urban Infra,G.M. Rao family,Infrastructure,4543,48.4,4102,50.07,-648,477,0,NAP,1354,273.38,540,10413,0,8656,225,-14.41,-2164,491,NAP,NAP,NAVL,NAP,1610,-42.99
347,NAP,R-E 2020,Fertilizers & Chemicals Travancore,GoI,Fertilisers & Agrochem,4536,40.44,4425,35.78,353,319,0.8,7.79,244,48.19,1876,1838,9.7,2239,423,21.8,189,475,60.1,24.79,1656,317,7765,-1.05
348,NAP,NEW,"Sagar Diamonds
                                                      (**) ^^",Vaibhav Shah,Gems and jewellery,4526,152.45,4271,138.28,29,444,228.22,0.64,1,NAP,13,2,0.03,92,500,40.13,90,478,38.53,45.3,NAVL,NAP,57,8.2
349,411,62,"PCBL
                                                      (#)",RP-Sanjiv Goenka Group,Auto Ancillaries,4510,70.12,4446,67.19,426,288,35.84,9.45,29,4.46,159,786,0.3,3417,366,27.64,2614,315,18.74,18.45,1135,347,4388,18.94
350,NAP,NEW,Electronics Mart India,Pavan Kumar Bajaj,Retail,4486,36.46,4349,35.84,104,419,77.23,2.32,85,28.98,34,1143,1.92,1741,454,19.07,597,463,19.09,14.01,NAVL,NAP,3495,6.45
351,441,90,Maharashtra Seamless,D.P. Jindal,Iron & Steel,4464,81,4200,81.96,380,307,287.8,8.52,51,8.7,49,709,0.19,4442,317,4.3,3693,267,11.56,12.79,1431,329,4164,53.17
352,357,5,Blue Dart Express,MNC,Transport Logistics,4441,34.24,4410,34.13,382,305,275.41,8.61,87,9.02,184,1066,1.22,1957,441,-8.36,872,451,52.22,29.29,12288,97,17358,9.32
353,352,-1,Jubilant Foodworks,Jubilant Bhartia Group,"Food, Agri Products",4441,31.15,4396,32.74,420,291,81.46,9.47,176,16.14,563,2106,1.08,4062,333,32.88,1945,369,24.8,20.83,29346,29,40238,-18.33
354,359,5,"Venkys (India)
                                                      ^^",Desai%comma% Rao families,"Food, Agri Products",4419,35.07,4400,41.19,165,400,-38.46,3.73,18,7.19,156,199,0.16,1464,473,11.95,1249,423,14,17.61,5305,165,3132,-27.95
355,341,-14,IFB Industries,Bijon Nag,Consumer Durables,4401,23.94,4316,23.12,-48,454,0,NAP,35,59.45,93,363,0.56,1096,486,2.08,648,460,NAP,-3.59,2640,260,4057,-23.52
356,315,-41,Bajaj Holdings & Investment,Bajaj Group,NBFC,4382,12.11,484,5.95,4056,58,11.12,92.55,3,NAP,33,114,0,51694,93,16.81,42842,43,10.31,10.54,NAVL,NAP,59662,42.92
357,324,-33,Zensar Technologies,RPG Group,Infotech,4382,15.25,4244,12.23,416,292,38.77,9.5,35,5.38,856,335,0.12,3142,372,12.58,2687,310,16.77,20.64,8860,112,7568,-51.24
358,384,26,JK Paper,JK Organisation,Paper,4364,44.64,4244,41.45,543,251,126.13,12.43,132,13.22,22,3079,1.01,6282,269,15.37,2996,298,19.73,15.85,2778,248,5155,85.47
359,332,-27,Motilal Oswal Financial Services,Motilal Oswal%comma% Raamdeo Agrawal,Securities Trading,4320,18.87,4298,18.54,1310,126,3.91,30.32,478,NAP,5315,6152,1.08,11853,187,16.36,5674,204,25.86,19.05,6951,138,12437,-24.38
360,470,110,Indo Rama Synthetics (India),O.P. Lohia,Textiles & Garments,4257,94.97,4204,97.08,269,351,137.31,6.32,62,20.36,12,354,0.59,991,490,30.36,600,462,34.33,23.6,1462,327,1686,20.25
361,377,16,"Castrol India
                                                      ^^",MNC,"Lube Oils, Lubricants",4253,37.93,4192,39.88,758,206,30.05,17.83,2,0.23,1300,0,0,1670,459,15.4,1646,396,49.55,66.21,631,372,11379,-6.45
362,414,52,Century Textiles & Industries,B.K. Birla Group,Diversified,4240,61.08,4131,57.88,167,399,0,3.93,52,11.74,114,1336,0.36,5833,274,7.76,3719,266,4.48,4.83,4370,189,9312,4.67
363,378,15,Amber Enterprises India,Jasbir Singh,Consumer Durables,4235,37.54,4206,38.8,109,415,33.83,2.58,48,17.28,563,1069,0.62,2892,386,40.87,1734,389,6.67,8.3,1363,336,9858,-34.19
364,365,1,"Tamil Nadu Newsprint & Papers
                                                      ^^",Govt of Tamil Nadu,Paper,4205,31.34,4357,36.9,14,448,0,0.34,156,43.65,14,2239,1.41,3990,336,-10.81,1589,398,0.9,4.22,2371,278,1245,104.56
365,481,116,Kirloskar Industries,Kirloskar Group,NBFC,4203,97.64,3810,83.14,194,387,18.2,4.61,31,NAP,344,1157,0.5,5222,293,105.6,2329,337,15.52,21.65,NAVL,NAP,1475,11.49
366,338,-28,Birlasoft,C.K. Birla Group,Infotech,4197,17.4,4130,16.16,464,275,44.51,11.05,13,2.03,383,123,0.05,2755,390,15.36,2583,318,19.47,24.48,10122,103,11146,-33.44
367,334,-33,BEML,GoI,Capital Goods,4192,15.95,4337,20.59,129,410,86.92,3.07,65,19.91,34,832,0.35,4505,315,5.04,2357,334,5.63,6.02,5573,157,6630,23.01
368,NAP,NEW,FSN E-Commerce Ventures,Nayar family,New Age Tech,4163,66.93,3774,54.61,41,438,-33.26,0.99,47,28.83,267,593,0.44,2068,433,148.96,1340,417,4.16,6.2,2764,249,75981,-47.54
369,294,-75,KRBL,Anil Mittal,FMCG,4154,-5.76,4211,5.48,459,278,-17.8,11.06,13,2.02,391,145,0.04,4226,325,3.79,4070,247,11.84,15.2,2321,282,6077,42.15
370,277,-93,"Gujarat Ambuja Exports
                                                      (**)",Manish Kumar Gupta,"Food, Agri Products",4129,-1.37,4163,2.62,475,273,40.63,11.51,6,0.83,18,281,0.13,2418,409,31.84,2118,352,25.19,30.28,2621,261,5705,47.93
371,445,74,Wheels India,TVS-S. Viji,Auto Ancillaries,4125,69.3,3966,64.35,76,427,"4,101.65",1.85,71,28.08,4,876,1.19,1634,460,17.96,734,457,10.64,11.35,2221,284,1548,-11.13
372,391,19,Gujarat Fluorochemicals,Vivek Jain,Basic Materials,4123,42.49,3954,49.16,787,199,0,19.09,78,6.71,153,1556,0.37,5831,275,14.08,4255,242,20.03,20.46,2830,245,31848,99.66
373,381,8,AIA Engineering,Bhadresh Shah,Iron & Steel,4094,34.4,3567,23.77,620,231,9.46,15.14,9,1.17,506,10,0,4788,305,7.29,4755,230,13.77,17.11,4105,195,19571,39.49
374,410,36,"Page Industries
                                                      ^^",Sunder Genomal,Textiles & Garments,4090,54.01,3886,37.19,537,254,57.53,13.12,34,4.27,283,110,0.1,1206,485,18.2,1089,435,54.37,66.7,27730,34,49037,29.94
375,364,-11,Finolex Cables,Chhabria family,Consumer Durables,4088,26.82,3768,36.13,599,236,29.84,14.66,2,0.35,38,9,0,3941,340,14.79,3922,256,16.33,21.38,1589,323,6896,12.05
376,355,-21,"Prakash Industries
                                                      ^^",V.P. Agarwal,Iron & Steel,4078,21.9,3929,22.17,169,397,76.99,4.14,73,32.9,211,548,0.19,3401,367,-2.8,2812,305,5.91,7,2404,273,1073,-21.55
377,326,-51,"USV
                                                      ^",Leena Gandhi Tewari,Pharma,4067,7.16,3893,6.69,1076,152,3.91,26.45,2,0.1,221,0,0,4164,328,9.71,4041,249,27.93,36.64,NAVL,NAP,NAP,NAP
378,369,-9,"Tata Hitachi Construction Machinery Company
                                                      ^^ ^",Tata Group,Engineering,4062,28.4,3943,13.42,6,449,-89.03,0.15,19,17.53,101,514,0.58,1531,468,22.77,891,448,0.69,2.53,NAVL,NAP,NAP,NAP
379,417,38,Max Healthcare Institute,Abhay Soi%comma% KKR,Healthcare,4059,54.95,3931,56.76,605,233,0,14.91,101,10.81,499,913,0.15,7864,232,8.11,6282,190,10.15,11.09,4436,186,36702,33.01
380,323,-57,Equitas Holdings,"Diversified
                                              *",Micro Finance,4045,5.87,3978,6.52,153,402,-67.63,3.79,1481,NAP,2130,22242,6.53,26701,129,7.51,3407,278,7.11,7.34,17687,70,3633,-20.79
381,358,-23,Kirloskar Oil Engines,Kirloskar Group,Capital Goods,4041,23.55,4022,22.02,175,395,-10.48,4.32,106,25.73,174,1965,0.94,4125,331,39.67,2082,356,8.54,9.55,2184,286,2549,33.33
382,453,71,Sarda Energy & Minerals,K.K. Sarda,Iron & Steel,4030,71.97,3914,78.01,804,196,114.51,19.95,147,10.91,282,1581,0.53,4732,308,16.86,3004,297,30.96,29.27,1369,334,3228,-5.74
383,426,43,Solar Industries India,Satyanarayan Nuwal,Basic Materials,4007,55.64,3948,56.92,441,282,59.68,11.01,50,6.72,99,888,0.46,2904,385,18.45,1914,372,26.07,25.33,1272,339,25774,62.05
384,335,-49,"Equitas Small Finance Bank
                                                      ^^","Diversified
                                              *",Banks,3997,10.65,3460,8.3,281,348,-26.94,7.02,1421,NAP,2133,21567,0,26959,127,9.09,4246,243,7.35,1.09,17607,71,6250,-19.19
385,367,-18,Medplus Health Services,Madhukar Gangadi & Others,Healthcare,3970,24.21,3779,23.13,96,420,50.02,2.41,66,24.39,34,815,0.57,2253,421,68.07,1418,410,8.82,10.26,439,386,10355,-47.15
386,433,47,Zuari Agro Chemicals,K.K. Birla Group,"Fert, Agrochem",3965,56.84,3590,49.34,130,409,0,3.29,173,74.04,705,2643,7.2,3505,361,39.71,367,471,22.1,12.86,624,374,624,61.14
387,314,-73,"DCB Bank
                                                      ^^","Diversified
                                              *",Banking,3965,1.56,3513,1.58,288,347,-14.38,7.25,2155,NAP,4091,38774,0,44892,98,13.24,3823,264,7.82,0.68,8077,125,2682,13.65
388,348,-40,Granules India,K.P. Chigurupati,Drugs & Pharmaceuticals,3935,13.62,3765,16.29,413,294,-24.88,10.49,23,3.21,409,1106,0.43,3722,353,22.13,2587,317,17.34,17.17,3686,206,7554,18.15
389,333,-56,"P&G Hygiene and Health Care
                                                      ^^",MNC,FMCG,3932,8.5,3901,9.14,576,244,-11.67,14.64,11,1.35,639,5,0.01,827,493,3.25,738,456,79.31,98.5,NAVL,NAP,47042,-1.44
390,457,67,RSWM,L.N. Jhunjhunwala family,Textiles & Garments,3917,71.54,3817,64.12,246,363,"1,082.05",6.29,68,15.65,9,1103,1.07,2145,430,24.41,1035,440,26.95,18.47,16615,77,993,-24.79
391,459,68,"Filatex India
                                                      ^^",M.S. Bhageria,Textile & Garments,3892,72.16,3828,71.88,303,341,82.55,7.78,36,6.78,29,358,0.33,1479,472,6.61,1085,436,32.76,34.51,2383,276,2444,-0.69
392,390,-2,GHCL,Sanjay Dalmia,Basic Materials,3877,54.78,3778,51.67,647,225,98.3,16.68,64,6.49,255,788,0.26,3881,346,18.67,3086,293,23.22,25.81,3655,208,5177,55.41
393,361,-32,"Redington
                                                      (**)","Diversified
                                              *",Trading,3877,19.62,2492,-35.01,1280,128,68.79,33.02,163,8.85,3659,831,0.14,7108,253,17.15,5785,203,24.52,28.61,1663,315,11327,0.69
394,406,12,SKF India,MNC,Auto Ancillaries,3874,43.62,3666,37.26,395,302,32.67,10.2,2,0.37,402,16,0.01,1939,445,19.91,1886,377,22.9,29.97,1681,312,18986,33.13
395,483,88,"Birla Carbon India
                                                      ^^ ^",Aditya Birla Group,Auto ancillaries,3858,82.1,3624,93.95,432,287,76.2,11.2,21,4.02,1,407,0.15,3104,374,4.24,2668,311,17.36,19.95,NAVL,NAP,NAP,NAP
396,400,4,ITD Cementation India,MNC,"Engg, Construction",3854,38.97,3809,39.64,69,431,336.61,1.79,142,48.32,491,560,0.5,1732,455,10.59,1131,430,6.31,14.3,2071,293,1377,51.29
397,392,-5,Galaxy Surfactants,"Diversified
                                              *",FMCG,3844,33.86,3686,32.39,263,355,-13.03,6.84,13,3.21,71,421,0.27,2003,437,25.1,1574,400,18.28,18.99,1546,324,10586,-5.44
398,NAP,NEW,"Go Digit General Insurance
                                                      ^^ ^",Fairfax%comma% Kamesh Goyal,Financial Services,3841,70.56,3841,70.56,-296,470,0,NAP,0,NAP,147,0,0,1978,439,60.85,1978,367,NAP,NAP,NAVL,NAP,NAP,NAP
399,346,-53,Sun TV Network,Kalanithi Maran,Media,3841,10.25,3585,12.84,1642,109,7.66,42.75,33,1.46,1138,95,0.01,8264,229,15.61,8155,155,21.59,28.94,1106,351,19180,-8.54
400,NAP,R-E 2019,GVK Power & Infrastructure,G.V.K. Reddy family,Infra Development,3832,"1,052.50",858,176.56,2645,77,0,69.03,421,144.13,557,10523,0,7478,242,201.25,-3840,494,NAP,35.8,2065,295,585,-48.66
401,477,76,"Nahar Spinning Mills
                                                      ^^",J.L. Oswal,Textiles & Garments,3818,78.59,3594,70.17,502,266,"1,112.73",13.15,75,9.21,4,1013,0.63,2617,400,32.7,1601,397,40.2,32.67,10133,102,1599,-46.05
402,388,-14,"Mando Automotive India
                                                      ^^ ^",Anand group%comma% Mando Corp,Auto ancillaries,3815,28.8,3773,26.74,217,376,54.88,5.7,17,3.75,279,321,0.33,1298,482,21.46,970,443,24.85,27.43,NAVL,NAP,NAP,NAP
403,435,32,Gujarat Alkalies & Chemicals,Govt of Gujarat,Basic Materials,3808,52.01,3759,54.71,560,248,237.73,14.7,6,0.63,300,594,0.1,6642,262,10.99,5899,200,9.93,13.19,1538,325,5685,20.33
404,409,5,Kajaria Ceramics,A.K. Kajaria,Consumer Durables,3807,42.65,3705,33.24,377,309,22.38,9.9,13,2.08,424,165,0.08,2371,415,14.12,2122,350,19.18,24.21,2599,263,17790,-10.92
405,437,32,Sharda Cropchem,R.V. Bubna,Basic Materials,3787,52.43,3580,49.43,349,321,52.4,9.22,15,2.16,166,47,0.02,1966,440,15.36,1912,375,19.81,26.12,175,394,4692,20.62
406,362,-44,JM Financial,Nimesh Kampani,Non-banking Financial Services,3763,16.63,3724,15.98,773,203,31.01,20.54,1082,NAP,2560,13498,1.76,24124,132,9.25,7686,162,13.51,11.97,2405,272,6539,-18.25
407,418,11,H.G. Infra Engineering,Harendra Singh%comma% Vijendra Singh%comma% Girishpal Singh trusts,"Engg, construction",3759,43.62,3751,43.75,380,308,60.59,10.11,118,16.57,165,1184,0.82,2630,399,37.21,1436,408,30.42,27.82,1866,302,3850,-24.56
408,422,14,Narayana Hrudayalaya,Devi Shetty,Healthcare,3747,44.24,3701,43.29,342,324,0,9.12,76,11.62,172,723,0.49,2456,408,11.32,1489,406,26.23,21.71,11465,100,13474,54.12
409,380,-29,KNR Constructions,Narasimha Reddy,Engineering & Construction,3684,20.86,3606,24.18,382,306,-6.27,10.37,151,18.85,259,1464,0.63,4099,332,47.25,2328,338,17.06,21.52,2173,288,7526,-22.07
410,385,-25,Time Technoplast,Vageria%comma% Jain families,Plastic Products,3670,22.41,3650,21.46,188,391,81.78,5.12,92,18.19,94,906,0.44,3032,379,7.74,2069,360,9.69,12.25,2521,266,2067,49.82
