2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
193,188,-5,Varun Beverages,Ravi Jaipuria,"Food, Agri Products",9343,22.79,9175,21.45,694,214,110.96,7.43,207,12.34,337,3356,0.82,7793,234,10.79,4080,246,19.62,16.57,7965,127,49661,71.46
194,200,6,Berger Paints India,Dhingra brothers,FMCG,9212,30.56,8762,28.52,833,188,15.71,9.04,51,3.81,313,1014,0.26,5041,297,23.2,3927,255,22.81,25.73,3931,200,65783,-21.92
195,282,87,Aditya Birla Fashion & Retail,Aditya Birla Group,Retail Trade,9180,95.01,8136,55.01,-109,459,0,NAP,389,34.19,121,4100,1.48,7653,239,9.67,2773,307,NAP,NAP,28541,30,26811,30.49
196,NAP,R-E 2020,"Nirma
                                                      ^",Karsanbhai Patel,FMCG,9164,20.68,8963,20.6,354,318,-27.81,3.87,319,20.72,1098,3463,0.43,11925,185,-12.13,8111,156,4.49,6.43,NAVL,NAP,NAP,NAP
197,134,-63,"Sidbi
                                                      ^^ ^",GoI,NBFC,9139,-18.15,8714,-14.75,1958,91,-18.37,21.42,5702,NAP,17918,216591,0,247379,32,28.63,24583,69,8.54,0.89,NAVL,NAP,NAP,NAP
198,195,-3,Amara Raja Batteries,R.N. Galla,Storage Batteries,9097,24.53,8697,21.64,513,261,-20.76,5.63,15,1.47,54,126,0.03,4850,304,8.83,4552,233,11.7,15.18,9911,105,9443,-26.38
199,152,-47,Indiabulls Housing Finance,"Diversified
                                              *",NBFC,8994,-10.33,8988,-10.1,1178,140,-1.98,13.09,6242,NAP,9653,61359,3.68,78033,71,-8.13,16674,95,7.18,9.57,4603,182,7414,-40.94
200,230,30,Balkrishna Industries,Arvind Poddar,Tyres & Tubes,8991,47.4,8295,43.44,1435,121,21.9,15.97,9,0.47,52,2529,0.36,9520,216,34.82,6933,177,22.2,24.02,3229,222,41459,-20.86
201,225,24,PDS,D.K. Seth,Textiles,8976,43.47,8828,42.1,248,362,194.6,2.77,39,11.82,665,740,0.85,1694,456,31.08,872,450,38.55,24.49,144,396,4284,9.14
202,181,-21,"Gemini Edibles & Fats India
                                                      (**) ^^ ^",MNC,Food & Agri Products,8933,23.47,8453,20.2,757,207,32.7,8.48,49,4.92,1215,755,0.35,2888,387,19.2,2133,349,40.32,40.2,NAVL,NAP,NAP,NAP
203,257,54,Gujarat Narmada Valley Fertilizers & Chemicals,Govt of Gujarat,Fertilisers & agrochem,8833,66.74,8642,68.51,1710,102,145.41,19.36,3,0.15,1182,2,0,8945,221,27.13,7990,158,24.24,28.8,2401,274,9721,44.58
204,168,-36,Jammu and Kashmir Bank,Diversified,Banking,8803,-0.1,8013,-1.21,495,268,15.5,5.62,4101,NAP,8792,117074,0,130576,52,8.57,7127,172,7.79,0.39,12977,91,3159,-2.94
205,428,223,"LifeStyle International
                                                      ^^ ^",Micky Jagtiani,Retail,8775,59.05,7806,42.68,269,352,0,3.07,443,34.23,36,0,0,5283,291,7.79,1358,415,22.01,16.01,NAVL,NAP,NAP,NAP
206,198,-8,JSW Energy,Savitri Devi Jindal,Power,8744,21.84,8167,17.98,1729,99,117.31,19.77,777,21.77,1134,8943,0.51,26968,126,14.12,17415,90,10.92,11.92,1603,320,49000,-0.23
207,187,-20,Biocon,Kiran Mazumdar-Shaw,"Drugs, Pharma",8653,12.38,8184,14.57,648,224,-12.44,7.49,68,4.09,1748,5147,0.61,17440,152,11.19,8432,152,10.58,7.38,3203,225,40329,-22.52
208,232,24,Mahindra CIE Automotive,MNC,Auto Ancillaries,8648,44.67,8387,38.62,393,303,269.27,4.54,53,5.3,160,1282,0.25,7069,255,-1.91,5197,218,7.78,10.06,NAVL,NAP,8853,10.22
209,177,-32,Torrent Pharmaceuticals,Samir & Sudhir Mehta,"Drugs, Pharma",8631,3.48,8508,6.29,777,201,-37.92,9,255,13.1,403,4070,0.68,10401,207,-6.25,5953,198,18.26,18.2,12923,92,49426,16.62
210,269,59,Arvind,Sanjay Lalbhai,Textiles & Garments,8606,73.4,8034,58.36,238,365,0,2.77,197,24.76,77,1865,0.63,4967,301,-0.64,2951,299,8.52,11.65,25460,44,2915,-34.63
